League,Season,Matches,Accuracy,LogLoss,MeanConfidence
D1,2010/11,306,0.3464052287581699,1.1263683301140675,0.4174733390408425
D1,2011/12,250,0.404,1.0934331470859997,0.379003173126546
E0,2010/11,380,0.31842105263157894,1.1414149661694863,0.41494190785344987
E0,2011/12,306,0.4803921568627451,1.0310316185421862,0.4207411162628387
F1,2010/11,380,0.34210526315789475,1.1233901970272502,0.39707020582483277
F1,2011/12,296,0.3952702702702703,1.0803478446961787,0.3713228687008915
I1,2010/11,380,0.34210526315789475,1.1369446827628165,0.41697376679149273
I1,2011/12,290,0.44482758620689655,1.0760045650017223,0.3799552820110214
N1,2010/11,306,0.28104575163398693,1.1832331802094138,0.436759066145698
N1,2011/12,244,0.5245901639344263,1.0226489243842478,0.42697084558803605
SP1,2010/11,380,0.3,1.1408035781371342,0.4148664400809139
SP1,2011/12,290,0.4724137931034483,1.0429426640606694,0.39893999380991485
