Threshold,Matches,Accuracy
0.5,668,0.5284431137724551
0.55,282,0.6631205673758865
0.6,124,0.7903225806451613
0.65,70,0.8
0.7,44,0.7727272727272727
0.75,19,0.8421052631578947
0.8,7,0.7142857142857143
