League,Matches,Accuracy,LogLoss,MeanConfidence
D1,556,0.3723021582733813,1.1115593449395766,0.4001756025685869
E0,686,0.39067055393586003,1.09217691314623,0.4175287267649265
F1,676,0.36538461538461536,1.1045432498526981,0.3857962238889058
I1,670,0.38656716417910447,1.1105676168662235,0.4009508405432291
N1,550,0.3890909090909091,1.1119921648978857,0.43241665557102615
SP1,670,0.3746268656716418,1.0984458690592613,0.4079729036352577
